# §136: тексты дневника колонистки. Формат: ключ<TAB>English<TAB>Русский
# Залить: python3 Tools/i2_add_terms.py _ArtSource/Journal/journal_lines.tsv
# Ключ: journal.<Событие>.<did|got>[.<регистр>][.<отношение>].v<N>
#   регистр:    plain weary bitter tender hurt dying
#   отношение:  neutral beloved friend cold hated
#   {0} — имя второй участницы, {1} — предмет/часть тела/причина
# Варианты .v0 .v1 ... обязаны идти ПОДРЯД: поиск идёт до первой дырки.

journal.chore.FireFueled	fed the fire	подкидывала в костёр
journal.chore.BuildProgress	worked on the build	возилась со стройкой
journal.chore.RaftProgress	worked on the raft	возилась с плотом
journal.chore.BandageCrafted	rolled bandages	крутила бинты
journal.chore.ClothesStowed	put clothes away	убирала одежду
journal.chore.TalkRequested	tried to talk to someone	звала кого-то поговорить
journal.chore.InteractionBlocked	waited my turn	ждала своей очереди
journal.Aided.got.v0	{0} helped me. I won't forget it.	{0} мне помогла. Я этого не забуду.
journal.Aided.got.v1	{0} came to me with {1}. Just came, without being asked twice.	{0} пришла ко мне — {1}. Просто пришла, не заставила просить дважды.
journal.Aided.got.tender.v0	{0} is wonderful. She helped me — {1} — and I could have cried.	{0} замечательная. Она мне помогла — {1}, — и я чуть не расплакалась.
journal.Aided.got.tender.v1	I love {0}. Really love her.	Я обожаю {0}. Правда обожаю.
journal.Aided.got.hurt.v0	I was in a bad way, and {0} helped me — {1}. I love her for that.	Мне было совсем худо, и {0} мне помогла — {1}. За это я её и люблю.
journal.Aided.got.hurt.v1	{0} found me. I don't know what I would have done alone.	{0} меня нашла. Не знаю, что бы я делала одна.
journal.Aided.got.dying.v0	{0} got to me in time. I was already saying goodbye to everything.	{0} успела. Я уже со всем прощалась.
journal.Aided.got.hurt.beloved.v0	How wonderful {0} is. I adore her — especially for giving me water when I was so far gone.	Какая {0} классная. Я её обожаю — особенно за то, что напоила меня, когда мне было так плохо.
journal.Aided.got.hurt.beloved.v1	{0}. Always {0}. She sat with me and made it stop hurting so much.	{0}. Всегда {0}. Она посидела рядом, и стало не так больно.
journal.Aided.got.tender.beloved.v0	{0} took care of me today. She is the best thing on this island.	{0} сегодня обо мне позаботилась. Она — лучшее, что есть на этом острове.
journal.Aided.got.cold.v0	{0} helped me. Fine. I said thank you and we both pretended.	{0} мне помогла. Ладно. Я сказала спасибо, и обе сделали вид.
journal.Aided.got.hated.v0	Of all people, {0} was the one to help me. I hate that I needed it.	Помогла мне именно {0}. Ненавижу, что мне это было нужно.
journal.Aided.did.v0	I helped {0} — {1}. She needed it.	Я помогла {0} — {1}. Ей было нужно.
journal.Aided.did.v1	{0} was in a bad way. I did what I could.	{0} было плохо. Я сделала что могла.
journal.Aided.did.tender.beloved.v0	I looked after {0} today. I would do it again tomorrow.	Сегодня я возилась с {0}. И завтра снова буду.
journal.Aided.did.weary.v0	I helped {0}. I had nothing left myself, but I helped.	Помогла {0}. У самой ничего не осталось, но помогла.
journal.FoodShared.got.v0	{0} gave me food. I was starving.	{0} дала мне поесть. Я умирала с голоду.
journal.FoodShared.got.tender.v0	{0} shared her food with me. Nobody made her.	{0} поделилась со мной едой. Её никто не заставлял.
journal.FoodShared.got.hurt.beloved.v0	{0} fed me when I had nothing. I will remember that for as long as I live.	{0} накормила меня, когда у меня не было ничего. Буду помнить, пока живу.
journal.FoodShared.did.v0	I gave {0} some of mine. She looked worse than me.	Отдала {0} часть своего. Она выглядела хуже меня.
journal.HelpCryDefended.got.v0	{0} stepped in front of me. In front of ME.	{0} встала передо мной. Передо МНОЙ.
journal.HelpCryDefended.got.tender.beloved.v0	{0} fought for me today. I have never had anyone do that.	Сегодня {0} за меня дралась. За меня никто никогда не дрался.
journal.HelpCryDefended.did.v0	I got between {0} and the thing that wanted her.	Я встала между {0} и тем, что до неё добиралось.
journal.HelpCryAnswered.got.v0	I screamed, and {0} came.	Я закричала — и {0} пришла.
journal.HelpCryAnswered.did.v0	{0} was screaming. I ran.	{0} кричала. Я побежала.
journal.HelpCryIgnored.got.v0	I screamed. {0} heard me. {0} did not come.	Я кричала. {0} слышала. {0} не пришла.
journal.HelpCryIgnored.got.bitter.v0	So that's how it is. I called for {0} and she looked away.	Вот, значит, как. Я звала {0}, а она отвернулась.
journal.HelpCry.got.v0	I screamed for help until my throat gave out.	Я звала на помощь, пока не сорвала голос.
journal.HelpCry.got.dying.v0	I called and called. Nobody. Just the sound of my own voice.	Я звала и звала. Никого. Только мой собственный голос.
journal.HelpMoan.got.dying.v0	I couldn't scream any more. I could only lie there and make a sound.	Кричать я уже не могла. Только лежать и мычать.
journal.Collapsed.got.v0	My legs went. I went down and I did not get up.	Ноги подкосились. Я упала и не встала.
journal.Collapsed.got.dying.v0	I feel so bad. I think I'm dying. Is this really how it ends?	Мне так плохо. Я, кажется, умираю. Неужели на этом всё закончится?
journal.Collapsed.got.dying.v1	Everything is going far away. I don't want to. I really don't want to.	Всё уходит куда-то далеко. Я не хочу. Я очень не хочу.
journal.Collapsed.got.dying.v2	So this is it. Right here, on this sand, and nobody knows.	Значит, вот так. Здесь, на этом песке, и никто не знает.
journal.Rescued.got.v0	Someone got to me. I am still here.	Кто-то до меня добрался. Я всё ещё здесь.
journal.Rescued.got.tender.v0	I opened my eyes and I was alive. I am still not used to it.	Я открыла глаза и была жива. До сих пор не привыкну.
journal.Rescued.got.dying.v0	They pulled me back. I was already gone, and they pulled me back.	Меня вытащили. Я уже уходила — и меня вытащили.
journal.WoundInflicted.got.v0	It got me. {1}. It hurts.	Меня достали. {1}. Больно.
journal.WoundInflicted.got.hurt.v0	{1}. I keep pressing on it and it keeps coming through.	{1}. Зажимаю — и всё равно проступает.
journal.WoundInflicted.got.dying.v0	{1}. I can't stop the bleeding. I can't stop it.	{1}. Не могу остановить кровь. Не могу.
journal.LimbSevered.got.v0	I lost it. {1}. It's gone and it is not coming back.	Я её лишилась. {1}. Её нет, и она не вернётся.
journal.LimbSevered.got.dying.v0	{1}. I looked at where it used to be and I stopped understanding anything.	{1}. Я посмотрела туда, где она была, и перестала что-либо понимать.
journal.MobTookLimb.got.v0	It took it away in its teeth. Mine. It took a part of me away.	Он унёс её в зубах. Мою. Он унёс часть меня.
journal.SharkBite.got.v0	Something took me from below. I didn't even see it.	Что-то взяло меня снизу. Я даже не увидела.
journal.DogFight.got.v0	I fought it off. My hands are still shaking.	Я отбилась. Руки до сих пор трясутся.
journal.DogFight.did.v0	I fought it off. My hands are still shaking.	Я отбилась. Руки до сих пор трясутся.
journal.FellAsleepExhausted.got.v0	I simply switched off. Mid-step.	Я просто выключилась. Прямо на ходу.
journal.FellAsleepExhausted.got.weary.v0	There was nothing left in me. I went down where I stood.	Во мне уже ничего не осталось. Легла там, где стояла.
journal.FaintedBloodLoss.got.v0	Everything went white and then went out.	Всё побелело, а потом погасло.
journal.Fainted.got.v0	I blacked out. I don't know for how long.	Я отключилась. Не знаю, надолго ли.
journal.WokeUp.got.v0	I woke up. Still here, then.	Я очнулась. Значит, всё ещё здесь.
journal.CryingBreakdown.got.v0	I lay down and cried and could not stop.	Я легла и плакала, и не могла перестать.
journal.CryingBreakdown.got.bitter.v0	I broke. Just lay there and howled like an animal.	Меня сорвало. Просто лежала и выла, как зверь.
journal.StatusStarving.got.v0	The hunger has stopped being hunger. It's something else now.	Голод перестал быть голодом. Теперь это что-то другое.
journal.StatusDehydrated.got.v0	My mouth is sand. I think about water and nothing else.	Во рту песок. Я думаю о воде и больше ни о чём.
journal.StatusOverheated.got.v0	The heat is eating me alive.	Жара съедает меня заживо.
journal.Sunburn.got.v0	The sun took {1}. It burns to touch.	Солнце сожгло {1}. Больно даже тронуть.
journal.GotSick.got.v0	Something is wrong with me. It came on fast.	Со мной что-то не так. Накрыло быстро.
journal.Bandaged.did.v0	I dressed my wounds. Badly, but I dressed them.	Перевязала раны. Плохо, но перевязала.
journal.Medicated.did.v0	I took a pill. Now I wait.	Приняла таблетку. Теперь жду.
journal.Preyed.got.v0	{0} came at me. {0}. One of ours.	{0} напала на меня. {0}. Своя.
journal.Preyed.got.hurt.v0	{0} looked at me like I was meat. And then she was on me.	{0} смотрела на меня, как на мясо. А потом бросилась.
journal.Preyed.did.v0	I did it. I was so hungry that I stopped seeing a person in {0}.	Я это сделала. Мне было так голодно, что я перестала видеть в {0} человека.
journal.Preyed.did.bitter.v0	I went for {0}. I am not writing down why. I know why.	Я бросилась на {0}. Не пишу зачем. Я знаю зачем.
journal.PreyFoughtBack.got.v0	I fought {0} off. I didn't think I had it in me.	Я отбилась от {0}. Не думала, что смогу.
journal.PreyFled.got.v0	I ran from {0}. I ran and I did not look back.	Я убежала от {0}. Бежала и не оглядывалась.
journal.StrippedHelpless.got.v0	I was lying there and {0} went through my things. I felt every hand.	Я лежала, а {0} рылась в моих вещах. Я чувствовала каждое прикосновение.
journal.StrippedHelpless.got.bitter.v0	{0} stripped me while I could not move. I will remember.	{0} обобрала меня, пока я не могла шевельнуться. Я запомню.
journal.StrippedHelpless.did.v0	{0} was lying there and I took what she had. I am not proud.	{0} лежала, и я забрала, что у неё было. Гордиться нечем.
journal.FoodStolen.got.v0	{0} took my food. Right out of my hands.	{0} забрала мою еду. Прямо из рук.
journal.GroupHuntTargetFled.got.v0	They came for me together. All of them at once.	Они пришли за мной вместе. Все сразу.
journal.GroupHuntPactFormed.did.v0	We agreed about {0} today. There was no other way.	Сегодня мы сговорились насчёт {0}. По-другому было никак.
journal.NightRaid.got.v0	They came in the dark. I heard them before I saw them.	Они пришли в темноте. Я услышала их раньше, чем увидела.
journal.ThreatSpotted.got.v0	I saw it before it saw me. That is the only reason I am writing this.	Я заметила его раньше, чем он меня. Только поэтому и пишу это.
journal.Grieving.got.v0	{0} is dead. I keep turning round to look for her.	{0} умерла. Я всё оборачиваюсь её искать.
journal.Grieving.got.hurt.beloved.v0	{0} is gone. I don't know how to be here without her.	{0} больше нет. Я не знаю, как здесь быть без неё.
journal.Mourned.did.v0	I sat with {0} for a while. It was the only thing left to do.	Посидела немного с {0}. Больше сделать было нечего.
journal.TalkQuarreled.did.v0	{0} and I had it out. Both of us said too much.	Мы с {0} поругались. Обе наговорили лишнего.
journal.TalkQuarreled.did.bitter.v0	I shouted at {0}. I meant every word of it and I hate that.	Я наорала на {0}. Каждое слово всерьёз — и мне за это противно.
journal.TalkQuarreled.got.v0	{0} went at me over nothing. Or maybe not over nothing.	{0} накинулась на меня из-за ерунды. А может, и не из-за ерунды.
journal.TalkCompleted.did.v0	{0} and I talked. It was good to just talk.	Поговорили с {0}. Хорошо было просто поговорить.
journal.TalkCompleted.did.tender.beloved.v0	I talked to {0} for a long time. Those hours are the reason I'm still sane.	Долго говорила с {0}. Только на таких часах я и держусь.
journal.InteractionRejected.got.v0	{0} did not want to talk to me. Fine.	{0} не захотела со мной говорить. Ну и ладно.
journal.InteractionRejected.got.bitter.v0	{0} brushed me off. I won't ask twice.	{0} от меня отмахнулась. Второй раз я не попрошу.
journal.WearPermissionRefused.got.v0	{0} wouldn't lend me her things. Hers is hers, I suppose.	{0} не дала мне свои вещи. Своё есть своё, наверное.
journal.WearPermissionGranted.got.v0	{0} lent me her things. That's not a small thing here.	{0} одолжила мне свои вещи. Здесь это немало.
journal.AidWaitTimeout.got.v0	I waited for {0}. She never came.	Я ждала {0}. Она не пришла.
journal.BedCrafted.did.v0	I have a bed. A real place of my own to lie down.	У меня есть кровать. Настоящее своё место, чтобы лечь.
journal.TentCrafted.did.v0	I put up a shelter. There is shade now.	Поставила навес. Теперь есть тень.
journal.HutCompleted.did.v0	The hut is finished. We have walls.	Хижина готова. У нас есть стены.
journal.FurnitureBuilt.did.v0	Finished the build. It stands.	Достроила. Стоит.
journal.RackCrafted.did.v0	The drying rack is up.	Сушилка готова.
journal.RaftLaunched.did.v0	The raft is in the water. It's really in the water.	Плот на воде. Он правда на воде.
journal.Butchered.did.v0	I butchered it. There is meat now. I try not to think about it.	Разделала. Теперь есть мясо. Стараюсь об этом не думать.
journal.Crafted.did.v0	Made myself {1}.	Смастерила себе {1}.
journal.DireStraits.got.v0	Things are bad. Properly bad, for all of us.	Дела плохи. По-настоящему плохи, у всех.
journal.StormSurge.got.v0	The sea came up over everything. We just held on.	Море пошло поверх всего. Мы просто держались.
journal.MeatSpoiled.got.v0	The meat went off. All that work for nothing.	Мясо испортилось. Вся работа впустую.
journal.FireOut.got.v0	The fire went out. It got cold at once.	Костёр погас. Сразу стало холодно.
journal.FriendGuard.got.v0	{0} put herself between me and it. She didn't have to.	{0} встала между мной и этим. Её никто не просил.
journal.FriendGuard.got.tender.beloved.v0	{0} guarded me today. I keep thinking about it.	Сегодня {0} меня прикрыла. Я всё об этом думаю.
journal.FriendGuard.did.v0	I stood over {0} until it backed off.	Я стояла над {0}, пока оно не отступило.
journal.WearPermissionRefused.did.v0	{0} asked for my things. I said no. They're mine.	{0} просила мои вещи. Я отказала. Они мои.
journal.WearPermissionRefused.did.bitter.v0	{0} wanted my things. No. I have little enough as it is.	{0} хотела мои вещи. Нет. У меня и так почти ничего нет.
journal.WearPermissionGranted.did.v0	I lent {0} my things. She needed them more.	Отдала {0} свои вещи поносить. Ей нужнее.
journal.AidRequested.did.v0	I set off to help {0} — {1}.	Пошла к {0} — {1}.
journal.AidStarted.did.v0	I got to {0} and started on it — {1}.	Дошла до {0} и взялась — {1}.
journal.AidWaitTimeout.got.bitter.v0	I waited for {0} for so long. Nobody came at all.	Я так долго ждала {0}. Не пришёл вообще никто.
journal.HelpCryAssistArrived.did.v0	I got there and threw myself into it.	Добежала и влезла в драку.
journal.HelpCryAssistLost.did.v0	I ran, and by the time I got there it was already over.	Бежала, а когда добежала — всё уже кончилось.
journal.MeatEaten.did.v0	I ate properly for once — {1}.	Наконец нормально поела — {1}.
journal.FireLit.did.v0	I got the fire going. It's warm.	Развела костёр. Тепло.
journal.TreeChopped.did.v0	Took a tree down. My arms are dead.	Свалила дерево. Руки отваливаются.
journal.MeatSpoiled.got.bitter.v0	The meat rotted. All of it. All that work.	Мясо сгнило. Всё. Вся работа впустую.
journal.Grieving.got.v1	{0} died today. The island got quieter.	Сегодня умерла {0}. На острове стало тише.
journal.Collapsed.got.dying.v3	I don't want to close my eyes. I'm afraid I won't open them.	Не хочу закрывать глаза. Боюсь, что не открою.
journal.WoundInflicted.got.dying.v1	There's so much blood. I never knew there was so much in me.	Крови так много. Я не знала, что во мне столько.
journal.me.dative	me	мне
